group_id,group_key,secondary_form,secondary_pos,secondary_lemma_id,secondary_lemma_text,primary_pos,pos_pattern,candidate_status,risk_flags,candidate_count,mechanical_candidate_stem_id,mechanical_candidate_stem_text,clean_deshadda_stem_id,clean_deshadda_stem_text,sample_locations,sample_words,draft_decision,draft_reviewed_stem_id,draft_reviewed_stem_text,confidence,review_required,review_type,priority,special_case,notes
14,لَّا|PRO|77|INT|needs_review_contextual_idgham,لَّا,PRO,77,لَا,INT,INT+PRO,needs_review_contextual_idgham,contextual_idgham;function_word_compound,5,476,لَّا,78,لَا,6:151:8:2;19:24:4:2;27:31:1:2;46:21:16:2;55:8:1:2,أَلَّا;أَلَّا;أَلَّا;أَلَّا;أَلَّا,map_clean_canonical_stem,78,لَا,medium,true,scholar,normal,idgham,Mechanical 476 (لَّا) is a shadda (idghām) artifact row. Draft = de-shadda clean stem لَا(78). Scholar: confirm idghām canonicalization + variant collapse.
15,مَآ|REL|4|P|needs_review_text_match,مَآ,REL,4,مَا,P,P+REL,needs_review_text_match,function_word_compound,5,90,مَآ,90,مَآ,7:190:7:2;8:68:7:2;28:77:2:2;33:5:18:2;46:26:3:2,فِيمَآ;فِيمَآ;فِيمَآ;فِيمَآ;فِيمَآ,accept_mechanical_clean_stem,90,مَآ,medium,true,scholar,normal,clean_text_match,"Clean form already matches a clean stem 90 (مَآ). Remaining question is sense-collapse (e.g. preventive vs relative ما) — scholar confirm, not auto-approved."
16,مَا|REL|4|V|needs_review_text_match,مَا,REL,4,مَا,V,V+REL,needs_review_text_match,function_word_compound,3,5,مَا,5,مَا,2:90:1:2;2:93:21:2;7:150:9:2,بِئْسَمَا;بِئْسَمَا;بِئْسَمَا,accept_mechanical_clean_stem,5,مَا,medium,true,scholar,normal,clean_text_match,"Clean form already matches a clean stem 5 (مَا). Remaining question is sense-collapse (e.g. preventive vs relative ما) — scholar confirm, not auto-approved."
17,مَّآ|REL|4|P|circular_match,مَّآ,REL,4,مَا,P,P+REL,circular_match,contextual_idgham;same_as_head_stem;function_word_compound,3,1154,مَّآ,90,مَآ,22:2:6:2;34:25:4:2;46:3:13:2,عَمَّآ;عَمَّآ;عَمَّآ,treat_as_head_stem_noop,1154,مَّآ,low,true,scholar,normal,circular,"Secondary form text-matches the word's OWN head stem 1154 (مَّآ); likely a no-op (count word once, no second attribution). Note the head itself is often a shadda artifact — clean de-shadda would be مَآ(90); head remap is OUT OF SCOPE. Scholar confirm whether a genuine second stem exists."
18,مَ|INTG|4|P|circular_match,مَ,INTG,4,مَا,P,P+INTG,circular_match,same_as_head_stem;function_word_compound,2,4727,مَ,4727,مَ,4:97:8:2;79:43:1:2,فِيمَ;فِيمَ,treat_as_head_stem_noop,4727,مَ,low,true,scholar,normal,circular,"Secondary form text-matches the word's OWN head stem 4727 (مَ); likely a no-op (count word once, no second attribution). Note the head itself is often a shadda artifact — clean de-shadda would be مَ(4727); head remap is OUT OF SCOPE. Scholar confirm whether a genuine second stem exists."
19,مَّا|REL|4|CONJ|needs_review_contextual_idgham,مَّا,REL,4,مَا,CONJ,CONJ+REL,needs_review_contextual_idgham,contextual_idgham;function_word_compound,2,446,مَّا,5,مَا,6:143:14:2;6:144:12:2,أَمَّا;أَمَّا,map_clean_canonical_stem,5,مَا,medium,true,scholar,normal,idgham,Mechanical 446 (مَّا) is a shadda (idghām) artifact row. Draft = de-shadda clean stem مَا(5). Scholar: confirm idghām canonicalization + variant collapse.
20,مَا|REL|4|LOC|needs_review_text_match,مَا,REL,4,مَا,LOC,LOC+REL,needs_review_text_match,function_word_compound,2,5,مَا,5,مَا,16:76:15:2;33:61:2:2,أَيْنَمَا;أَيْنَمَا,accept_mechanical_clean_stem,5,مَا,medium,true,scholar,normal,clean_text_match,"Clean form already matches a clean stem 5 (مَا). Remaining question is sense-collapse (e.g. preventive vs relative ما) — scholar confirm, not auto-approved."
21,لَّن|NEG|2306|SUB|needs_review_contextual_idgham,لَّن,NEG,2306,لَن,SUB,SUB+NEG,needs_review_contextual_idgham,contextual_idgham;function_word_compound,2,6554,لَّن,2307,لَن,18:48:13:2;75:3:3:2,أَلَّن;أَلَّن,map_clean_canonical_stem,2307,لَن,medium,true,scholar,normal,idgham,Mechanical 6554 (لَّن) is a shadda (idghām) artifact row. Draft = de-shadda clean stem لَن(2307). Scholar: confirm idghām canonicalization + variant collapse.
22,مَّنْ|REL|130|CONJ|needs_review_contextual_idgham,مَّنْ,REL,130,مِن,CONJ,CONJ+REL,needs_review_contextual_idgham,contextual_idgham;function_word_compound,2,3854,مَّنْ,145,مَنْ,27:60:1:2;39:9:1:2,أَمَّنْ;أَمَّنْ,map_clean_canonical_stem,145,مَنْ,medium,true,scholar,normal,idgham,Mechanical 3854 (مَّنْ) is a shadda (idghām) artifact row. Draft = de-shadda clean stem مَنْ(145). Scholar: confirm idghām canonicalization + variant collapse.
23,مَّنْ|INTG|130|CONJ|needs_review_contextual_idgham,مَّنْ,INTG,130,مِن,CONJ,CONJ+INTG,needs_review_contextual_idgham,contextual_idgham;function_word_compound,2,3854,مَّنْ,145,مَنْ,67:20:1:2;67:21:1:2,أَمَّنْ;أَمَّنْ,map_clean_canonical_stem,145,مَنْ,medium,true,scholar,normal,idgham,Mechanical 3854 (مَّنْ) is a shadda (idghām) artifact row. Draft = de-shadda clean stem مَنْ(145). Scholar: confirm idghām canonicalization + variant collapse.
24,مَّا|REL|4|V|circular_match,مَّا,REL,4,مَا,V,V+REL,circular_match,contextual_idgham;same_as_head_stem;function_word_compound,1,446,مَّا,5,مَا,4:58:18:2,نِعِمَّا,treat_as_head_stem_noop,446,مَّا,low,true,scholar,normal,circular,"Secondary form text-matches the word's OWN head stem 446 (مَّا); likely a no-op (count word once, no second attribution). Note the head itself is often a shadda artifact — clean de-shadda would be مَا(5); head remap is OUT OF SCOPE. Scholar confirm whether a genuine second stem exists."
25,مَا|SUP|4|COND|needs_review_text_match,مَا,SUP,4,مَا,COND,COND+SUP,needs_review_text_match,function_word_compound,1,5,مَا,5,مَا,4:78:1:2,أَيْنَمَا,accept_mechanical_clean_stem,5,مَا,medium,true,scholar,normal,clean_text_match,"Clean form already matches a clean stem 5 (مَا). Remaining question is sense-collapse (e.g. preventive vs relative ما) — scholar confirm, not auto-approved."
26,لَّا|NEG|77|COND|circular_match,لَّا,NEG,77,لَا,COND,COND+NEG,circular_match,contextual_idgham;same_as_head_stem;function_word_compound,1,476,لَّا,78,لَا,8:73:6:2,إِلَّا,treat_as_head_stem_noop,476,لَّا,low,true,scholar,normal,circular,"Secondary form text-matches the word's OWN head stem 476 (لَّا); likely a no-op (count word once, no second attribution). Note the head itself is often a shadda artifact — clean de-shadda would be لَا(78); head remap is OUT OF SCOPE. Scholar confirm whether a genuine second stem exists."
27,مَّن|INTG|130|CONJ|needs_review_contextual_idgham,مَّن,INTG,130,مِن,CONJ,CONJ+INTG,needs_review_contextual_idgham,contextual_idgham;function_word_compound,1,1220,مَّن,131,مَن,10:31:7:2,أَمَّن,map_clean_canonical_stem,131,مَن,medium,true,scholar,normal,idgham,Mechanical 1220 (مَّن) is a shadda (idghām) artifact row. Draft = de-shadda clean stem مَن(131). Scholar: confirm idghām canonicalization + variant collapse.
28,مَا|PREV|4|N|needs_review_text_match,مَا,PREV,4,مَا,N,N+PREV,needs_review_text_match,function_word_compound,1,5,مَا,5,مَا,15:2:1:2,رُّبَمَا,accept_mechanical_clean_stem,5,مَا,medium,true,scholar,normal,clean_text_match,"Clean form already matches a clean stem 5 (مَا). Remaining question is sense-collapse (e.g. preventive vs relative ما) — scholar confirm, not auto-approved."
29,مَا|SUB|4|T|needs_review_text_match,مَا,SUB,4,مَا,T,T+SUB,needs_review_text_match,function_word_compound,1,5,مَا,5,مَا,17:97:24:2,كُلَّمَا,accept_mechanical_clean_stem,5,مَا,medium,true,scholar,normal,clean_text_match,"Clean form already matches a clean stem 5 (مَا). Remaining question is sense-collapse (e.g. preventive vs relative ما) — scholar confirm, not auto-approved."
30,لَّآ|NEG|77|SUB|needs_review_contextual_idgham,لَّآ,NEG,77,لَا,SUB,SUB+NEG,needs_review_contextual_idgham,contextual_idgham;function_word_compound,1,1370,لَّآ,438,لَآ,19:48:10:2,أَلَّآ,map_clean_canonical_stem,438,لَآ,medium,true,scholar,normal,idgham,Mechanical 1370 (لَّآ) is a shadda (idghām) artifact row. Draft = de-shadda clean stem لَآ(438). Scholar: confirm idghām canonicalization + variant collapse.
31,لَّا|NEG|77|ACC|needs_review_contextual_idgham,لَّا,NEG,77,لَا,ACC,ACC+NEG,needs_review_contextual_idgham,contextual_idgham;function_word_compound,1,476,لَّا,78,لَا,20:89:3:2,أَلَّا,map_clean_canonical_stem,78,لَا,medium,true,scholar,normal,idgham,Mechanical 476 (لَّا) is a shadda (idghām) artifact row. Draft = de-shadda clean stem لَا(78). Scholar: confirm idghām canonicalization + variant collapse.
32,ؤُمَّ|N|150|N|circular_match,ؤُمَّ,N,150,أُمّ,N,N+N,circular_match,contextual_idgham;same_as_head_stem;artifact_stem_text,1,7608,ؤُمَّ,,,20:94:2:3,يَبْنَؤُمَّ,decide_canonical_umm_stem,,أُمّ (canonical) — no de-shadda row exists,low,true,scholar,high,yabnaumma,يَبْنَؤُمَّ (20:94:2:3): kinship vocative يا ابن أُمّ. Only non-function-word secondary. Mechanical 7608 (ؤُمَّ) is a clitic artifact AND equals the head stem (circular). Scholar must pick/create the canonical أُمّ stem.
33,مَا|SUB|4|ACC|needs_review_text_match,مَا,SUB,4,مَا,ACC,ACC+SUB,needs_review_text_match,function_word_compound,1,5,مَا,5,مَا,23:115:2:2,أَنَّمَا,accept_mechanical_clean_stem,5,مَا,medium,true,scholar,normal,clean_text_match,"Clean form already matches a clean stem 5 (مَا). Remaining question is sense-collapse (e.g. preventive vs relative ما) — scholar confirm, not auto-approved."
34,مَا|SUP|4|COND|circular_match,مَا,SUP,4,مَا,COND,COND+SUP,circular_match,same_as_head_stem;function_word_compound,1,5,مَا,5,مَا,28:28:5:2,أَيَّمَا,treat_as_head_stem_noop,5,مَا,low,true,scholar,normal,circular,"Secondary form text-matches the word's OWN head stem 5 (مَا); likely a no-op (count word once, no second attribution). Note the head itself is often a shadda artifact — clean de-shadda would be مَا(5); head remap is OUT OF SCOPE. Scholar confirm whether a genuine second stem exists."
35,مَآ|NEG|4|ACC|needs_review_text_match,مَآ,NEG,4,مَا,ACC,ACC+NEG,needs_review_text_match,function_word_compound,1,90,مَآ,90,مَآ,38:70:5:2,أَنَّمَآ,accept_mechanical_clean_stem,90,مَآ,medium,true,scholar,normal,clean_text_match,"Clean form already matches a clean stem 90 (مَآ). Remaining question is sense-collapse (e.g. preventive vs relative ما) — scholar confirm, not auto-approved."
36,مَّا|SUB|4|P|circular_match,مَّا,SUB,4,مَا,P,P+SUB,circular_match,contextual_idgham;same_as_head_stem;function_word_compound,1,446,مَّا,5,مَا,59:23:18:2,عَمَّا,treat_as_head_stem_noop,446,مَّا,low,true,scholar,normal,circular,"Secondary form text-matches the word's OWN head stem 446 (مَّا); likely a no-op (count word once, no second attribution). Note the head itself is often a shadda artifact — clean de-shadda would be مَا(5); head remap is OUT OF SCOPE. Scholar confirm whether a genuine second stem exists."
37,مَّا|PREV|4|P|needs_review_contextual_idgham,مَّا,PREV,4,مَا,P,P+PREV,needs_review_contextual_idgham,contextual_idgham;function_word_compound,1,446,مَّا,5,مَا,71:25:1:2,مِّمَّا,map_clean_canonical_stem,5,مَا,medium,true,scholar,normal,idgham,Mechanical 446 (مَّا) is a shadda (idghām) artifact row. Draft = de-shadda clean stem مَا(5). Scholar: confirm idghām canonicalization + variant collapse.
38,لَّوِ|COND|175|SUB|no_text_match,لَّوِ,COND,175,لَو,SUB,SUB+COND,no_text_match,contextual_idgham;no_text_match;function_word_compound,1,,,6226,لَوِ,72:16:1:3,وَأَلَّوِ,create_or_map_canonical_law_stem,,"لو (canonical) — de-shadda row لَوِ=6226 is a candidate, but a clean لو stem may be created",low,true,scholar,high,no_text_match,Idghām+kasra render of لو before hamza; NO shadda-form match. لَّوِ=72:16:1:3. Scholar must choose: reuse لَوِ(6226) / canonical لَوْ / new clean لو row.
39,مَّ|INTG|4|P|needs_new_or_canonical_stem_decision,مَّ,INTG,4,مَا,P,P+INTG,needs_new_or_canonical_stem_decision,contextual_idgham;function_word_compound;artifact_stem_text,1,17791,مَّ,4727,مَ,78:1:1:2,عَمَّ,remap_artifact_to_canonical,4727,مَ,low,true,scholar,high,artifact_target,Mechanical 17791 (مَّ) is a clitic-only artifact stem; do NOT link to it. Draft clean canonical = مَ(4727). Scholar confirm.
40,مَّ|REL|4|P|circular_match,مَّ,REL,4,مَا,P,P+REL,circular_match,contextual_idgham;same_as_head_stem;function_word_compound;artifact_stem_text,1,17791,مَّ,4727,مَ,86:5:3:2,مِمَّ,remap_artifact_to_canonical,4727,مَ,low,true,scholar,high,artifact_target,Mechanical 17791 (مَّ) is a clitic-only artifact stem; do NOT link to it. Draft clean canonical = مَ(4727). Scholar confirm.
